src_player,dest_champion,relation
1:Huni,Ornn,HAS_CHAMPION
1:Dardoch,Xin Zhao,HAS_CHAMPION
1:Damonte,Ryze,HAS_CHAMPION
1:Lost,Varus,HAS_CHAMPION
1:Smoothie,Morgana,HAS_CHAMPION
1:Hauntzer,Aatrox,HAS_CHAMPION
1:Grig,Skarner,HAS_CHAMPION
1:Bjergsen,Syndra,HAS_CHAMPION
1:Zven,Xayah,HAS_CHAMPION
1:Mithy,Rakan,HAS_CHAMPION
1002570087:Wunder,Aatrox,HAS_CHAMPION
1002570087:Jankos,Braum,HAS_CHAMPION
1002570087:Perkz,Lucian,HAS_CHAMPION
1002570087:Hjarnan,Karma,HAS_CHAMPION
1002570087:Wadid,Alistar,HAS_CHAMPION
1002570087:Smittyj,Jax,HAS_CHAMPION
1002570087:Shook,Lee Sin,HAS_CHAMPION
1002570087:Selfie,Vladimir,HAS_CHAMPION
1002570087:Sheriff,KaiSa,HAS_CHAMPION
1002570087:promisq,Morgana,HAS_CHAMPION
730084:Tay,Camille,HAS_CHAMPION
730084:Shini,Skarner,HAS_CHAMPION
730084:Envy,Galio,HAS_CHAMPION
730084:Absolut,Lucian,HAS_CHAMPION
730084:RedBert,Rakan,HAS_CHAMPION
730084:Zantins,Shen,HAS_CHAMPION
730084:Ranger,Taliyah,HAS_CHAMPION
730084:dyNquedo,Zoe,HAS_CHAMPION
730084:TitaN,Caitlyn,HAS_CHAMPION
730084:Wos,Alistar,HAS_CHAMPION
730095:Zantins,Urgot,HAS_CHAMPION
730095:Ranger,Graves,HAS_CHAMPION
730095:dyNquedo,Zoe,HAS_CHAMPION
730095:TitaN,KaiSa,HAS_CHAMPION
730095:Wos,Lulu,HAS_CHAMPION
730095:Tay,Ornn,HAS_CHAMPION
730095:Shini,Xin Zhao,HAS_CHAMPION
730095:Envy,Yasuo,HAS_CHAMPION
730095:Absolut,Ezreal,HAS_CHAMPION
730095:RedBert,Braum,HAS_CHAMPION
730096:Tay,Dr. Mundo,HAS_CHAMPION
730096:Shini,Skarner,HAS_CHAMPION
730096:Envy,Ryze,HAS_CHAMPION
730096:Absolut,Lucian,HAS_CHAMPION
730096:RedBert,Braum,HAS_CHAMPION
730096:Zantins,Quinn,HAS_CHAMPION
730096:Ranger,Taliyah,HAS_CHAMPION
730096:dyNquedo,Swain,HAS_CHAMPION
730096:TitaN,Yasuo,HAS_CHAMPION
730096:Wos,Alistar,HAS_CHAMPION
730097:Yang,Renekton,HAS_CHAMPION
730097:Revolta,Trundle,HAS_CHAMPION
730097:tockers,Irelia,HAS_CHAMPION
730097:micaO,Mordekaiser,HAS_CHAMPION
730097:Jockster,Pyke,HAS_CHAMPION
