src_player,dest_position,relation
1:Huni,Top,HAS_POSITION
1:Dardoch,Jungle,HAS_POSITION
1:Damonte,Middle,HAS_POSITION
1:Lost,ADC,HAS_POSITION
1:Smoothie,Support,HAS_POSITION
1:Hauntzer,Top,HAS_POSITION
1:Grig,Jungle,HAS_POSITION
1:Bjergsen,Middle,HAS_POSITION
1:Zven,ADC,HAS_POSITION
1:Mithy,Support,HAS_POSITION
1002570087:Wunder,Top,HAS_POSITION
1002570087:Jankos,Jungle,HAS_POSITION
1002570087:Perkz,Middle,HAS_POSITION
1002570087:Hjarnan,ADC,HAS_POSITION
1002570087:Wadid,Support,HAS_POSITION
1002570087:Smittyj,Top,HAS_POSITION
1002570087:Shook,Jungle,HAS_POSITION
1002570087:Selfie,Middle,HAS_POSITION
1002570087:Sheriff,ADC,HAS_POSITION
1002570087:promisq,Support,HAS_POSITION
730084:Tay,Top,HAS_POSITION
730084:Shini,Jungle,HAS_POSITION
730084:Envy,Middle,HAS_POSITION
730084:Absolut,ADC,HAS_POSITION
730084:RedBert,Support,HAS_POSITION
730084:Zantins,Top,HAS_POSITION
730084:Ranger,Jungle,HAS_POSITION
730084:dyNquedo,Middle,HAS_POSITION
730084:TitaN,ADC,HAS_POSITION
730084:Wos,Support,HAS_POSITION
730095:Zantins,Top,HAS_POSITION
730095:Ranger,Jungle,HAS_POSITION
730095:dyNquedo,Middle,HAS_POSITION
730095:TitaN,ADC,HAS_POSITION
730095:Wos,Support,HAS_POSITION
730095:Tay,Top,HAS_POSITION
730095:Shini,Jungle,HAS_POSITION
730095:Envy,Middle,HAS_POSITION
730095:Absolut,ADC,HAS_POSITION
730095:RedBert,Support,HAS_POSITION
730096:Tay,Top,HAS_POSITION
730096:Shini,Jungle,HAS_POSITION
730096:Envy,Middle,HAS_POSITION
730096:Absolut,ADC,HAS_POSITION
730096:RedBert,Support,HAS_POSITION
730096:Zantins,Top,HAS_POSITION
730096:Ranger,Jungle,HAS_POSITION
730096:dyNquedo,Middle,HAS_POSITION
730096:TitaN,ADC,HAS_POSITION
730096:Wos,Support,HAS_POSITION
730097:Yang,Top,HAS_POSITION
730097:Revolta,Jungle,HAS_POSITION
730097:tockers,Middle,HAS_POSITION
730097:micaO,ADC,HAS_POSITION
730097:Jockster,Support,HAS_POSITION
730097:SkyBart,Top,HAS_POSITION
730097:Minerva,Jungle,HAS_POSITION
730097:Lynkez,Middle,HAS_POSITION
730097:LUSKKA,ADC,HAS_POSITION
730097:Professor,Support,HAS_POSITION
730103:SkyBart,Top,HAS_POSITION
730103:Minerva,Jungle,HAS_POSITION
730103:Vert,Middle,HAS_POSITION
730103:LUSKKA,ADC,HAS_POSITION
730103:Professor,Support,HAS_POSITION
730103:Yang,Top,HAS_POSITION
730103:Revolta,Jungle,HAS_POSITION
730103:tockers,Middle,HAS_POSITION
730103:micaO,ADC,HAS_POSITION
730103:Jockster,Support,HAS_POSITION
730127:Robo,Top,HAS_POSITION
730127:Turtle,Jungle,HAS_POSITION
730127:Brucer,Middle,HAS_POSITION
730127:pbO,ADC,HAS_POSITION
730127:Baiano,Support,HAS_POSITION
730127:LEP,Top,HAS_POSITION
730127:Chaser,Jungle,HAS_POSITION
730127:Sky,Middle,HAS_POSITION
730127:Sacy,ADC,HAS_POSITION
730127:Loop,Support,HAS_POSITION
730134:LEP,Top,HAS_POSITION
730134:Chaser,Jungle,HAS_POSITION
730134:Sky,Middle,HAS_POSITION
730134:Sacy,ADC,HAS_POSITION
730134:Loop,Support,HAS_POSITION
730134:Robo,Top,HAS_POSITION
730134:Turtle,Jungle,HAS_POSITION
730134:Rakin,Middle,HAS_POSITION
730134:pbO,ADC,HAS_POSITION
730134:Baiano,Support,HAS_POSITION
730138:Jisu,Top,HAS_POSITION
730138:Shrimp,Jungle,HAS_POSITION
730138:Goku,Middle,HAS_POSITION
730138:brTT,ADC,HAS_POSITION
730138:esA,Support,HAS_POSITION
730138:Fitz,Top,HAS_POSITION
730138:Carioca,Jungle,HAS_POSITION
730138:Anyyy,Middle,HAS_POSITION
730138:Sarkis,ADC,HAS_POSITION
730138:Cabu,Support,HAS_POSITION
730146:Fitz,Top,HAS_POSITION
730146:Cariok,Jungle,HAS_POSITION
730146:Anyyy,Middle,HAS_POSITION
730146:Sarkis,ADC,HAS_POSITION
730146:Cabu,Support,HAS_POSITION
730146:Jisu,Top,HAS_POSITION
730146:Shrimp,Jungle,HAS_POSITION
730146:Goku,Middle,HAS_POSITION
730146:brTT,ADC,HAS_POSITION
730146:esA,Support,HAS_POSITION
730149:Jisu,Top,HAS_POSITION
730149:Shrimp,Jungle,HAS_POSITION
730149:Goku,Middle,HAS_POSITION
730149:brTT,ADC,HAS_POSITION
730149:esA,Support,HAS_POSITION
730149:Fitz,Top,HAS_POSITION
730149:Cariok,Jungle,HAS_POSITION
730149:Anyyy,Middle,HAS_POSITION
730149:Sarkis,ADC,HAS_POSITION
730149:Cabu,Support,HAS_POSITION
720136:Crazy,Top,HAS_POSITION
720136:Bono,Jungle,HAS_POSITION
720136:Tempt,Middle,HAS_POSITION
720136:Aries,ADC,HAS_POSITION
720136:IgNar,Support,HAS_POSITION
720136:ADD,Top,HAS_POSITION
720136:Yondu,Jungle,HAS_POSITION
720136:Ian,Middle,HAS_POSITION
720136:Pilot,ADC,HAS_POSITION
720136:Max,Support,HAS_POSITION
720143:ADD,Top,HAS_POSITION
720143:Yondu,Jungle,HAS_POSITION
720143:Ian,Middle,HAS_POSITION
720143:Pilot,ADC,HAS_POSITION
720143:Max,Support,HAS_POSITION
720143:Crazy,Top,HAS_POSITION
720143:Bono,Jungle,HAS_POSITION
720143:Tempt,Middle,HAS_POSITION
720143:Aries,ADC,HAS_POSITION
720143:IgNar,Support,HAS_POSITION
730202:Sword,Top,HAS_POSITION
730202:Tarzan,Jungle,HAS_POSITION
730202:Rather,Middle,HAS_POSITION
730202:Viper,ADC,HAS_POSITION
730202:Lehends,Support,HAS_POSITION
730202:Lindarang,Top,HAS_POSITION
730202:SeongHwan,Jungle,HAS_POSITION
730202:Lava,Middle,HAS_POSITION
730202:Sangyoon,ADC,HAS_POSITION
730202:Key,Support,HAS_POSITION
720189:Lindarang,Top,HAS_POSITION
720189:SeongHwan,Jungle,HAS_POSITION
720189:Lava,Middle,HAS_POSITION
720189:Sangyoon,ADC,HAS_POSITION
720189:Key,Support,HAS_POSITION
720189:Sword,Top,HAS_POSITION
720189:Tarzan,Jungle,HAS_POSITION
720189:Chovy,Middle,HAS_POSITION
720189:Viper,ADC,HAS_POSITION
720189:Lehends,Support,HAS_POSITION
720196:Sword,Top,HAS_POSITION
720196:Tarzan,Jungle,HAS_POSITION
720196:Chovy,Middle,HAS_POSITION
720196:Viper,ADC,HAS_POSITION
720196:Lehends,Support,HAS_POSITION
720196:Lindarang,Top,HAS_POSITION
720196:SeongHwan,Jungle,HAS_POSITION
