player,win
1:Huni,0
1:Dardoch,0
1:Damonte,0
1:Lost,0
1:Smoothie,0
1:Hauntzer,1
1:Grig,1
1:Bjergsen,1
1:Zven,1
1:Mithy,1
1002570087:Wunder,1
1002570087:Jankos,1
1002570087:Perkz,1
1002570087:Hjarnan,1
1002570087:Wadid,1
1002570087:Smittyj,0
1002570087:Shook,0
1002570087:Selfie,0
1002570087:Sheriff,0
1002570087:promisq,0
730084:Tay,1
730084:Shini,1
730084:Envy,1
730084:Absolut,1
730084:RedBert,1
730084:Zantins,0
730084:Ranger,0
730084:dyNquedo,0
730084:TitaN,0
730084:Wos,0
730095:Zantins,1
730095:Ranger,1
730095:dyNquedo,1
730095:TitaN,1
730095:Wos,1
730095:Tay,0
730095:Shini,0
730095:Envy,0
730095:Absolut,0
730095:RedBert,0
730096:Tay,1
730096:Shini,1
730096:Envy,1
730096:Absolut,1
730096:RedBert,1
730096:Zantins,0
730096:Ranger,0
730096:dyNquedo,0
730096:TitaN,0
730096:Wos,0
730097:Yang,1
730097:Revolta,1
730097:tockers,1
730097:micaO,1
730097:Jockster,1
730097:SkyBart,0
730097:Minerva,0
730097:Lynkez,0
730097:LUSKKA,0
730097:Professor,0
730103:SkyBart,0
730103:Minerva,0
730103:Vert,0
730103:LUSKKA,0
730103:Professor,0
730103:Yang,1
730103:Revolta,1
730103:tockers,1
730103:micaO,1
730103:Jockster,1
730127:Robo,1
730127:Turtle,1
730127:Brucer,1
730127:pbO,1
730127:Baiano,1
730127:LEP,0
730127:Chaser,0
730127:Sky,0
730127:Sacy,0
730127:Loop,0
730134:LEP,0
730134:Chaser,0
730134:Sky,0
730134:Sacy,0
730134:Loop,0
730134:Robo,1
730134:Turtle,1
730134:Rakin,1
730134:pbO,1
730134:Baiano,1
730138:Jisu,0
730138:Shrimp,0
730138:Goku,0
730138:brTT,0
730138:esA,0
730138:Fitz,1
730138:Carioca,1
730138:Anyyy,1
730138:Sarkis,1
730138:Cabu,1
730146:Fitz,0
730146:Cariok,0
730146:Anyyy,0
730146:Sarkis,0
730146:Cabu,0
730146:Jisu,1
730146:Shrimp,1
730146:Goku,1
730146:brTT,1
730146:esA,1
730149:Jisu,0
730149:Shrimp,0
730149:Goku,0
730149:brTT,0
730149:esA,0
730149:Fitz,1
730149:Cariok,1
730149:Anyyy,1
730149:Sarkis,1
730149:Cabu,1
720136:Crazy,0
720136:Bono,0
720136:Tempt,0
720136:Aries,0
720136:IgNar,0
720136:ADD,1
720136:Yondu,1
720136:Ian,1
720136:Pilot,1
720136:Max,1
720143:ADD,1
720143:Yondu,1
720143:Ian,1
720143:Pilot,1
720143:Max,1
720143:Crazy,0
720143:Bono,0
720143:Tempt,0
720143:Aries,0
720143:IgNar,0
730202:Sword,0
730202:Tarzan,0
730202:Rather,0
730202:Viper,0
730202:Lehends,0
730202:Lindarang,1
730202:SeongHwan,1
730202:Lava,1
730202:Sangyoon,1
730202:Key,1
720189:Lindarang,0
720189:SeongHwan,0
720189:Lava,0
720189:Sangyoon,0
720189:Key,0
720189:Sword,1
720189:Tarzan,1
720189:Chovy,1
720189:Viper,1
720189:Lehends,1
720196:Sword,1
720196:Tarzan,1
720196:Chovy,1
720196:Viper,1
720196:Lehends,1
720196:Lindarang,0
720196:SeongHwan,0
720196:Lava,0
720196:Sangyoon,0
720196:Key,0
730255:Khan,1
730255:Cuzz,1
730255:Bdd,1
730255:PraY,1
730255:GorillA,1
730255:CuVee,0
730255:Ambition,0
730255:Fly,0
730255:Ruler,0
730255:CoreJJ,0
730255:Tay,0
730255:Shini,0
730255:Envy,0
730255:Absolut,0
730255:RedBert,0
